trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.5, 'e': 0.36289737262302196}",20,5,-97.1035133663242,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.3501277966457755}",25,0,-40.18918026090138,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.33802055164954004}",20,0,-37.97002286176569,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.3265306122448977}",20,12,16.331404600223596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3156167150612294}",30,8,-6.363131378739955,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.30524098775983616}",30,0,10.047404618449802,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.29536862003780695}",20,8,20.148445560756155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2859675712774169}",20,15,10.001685595300003,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2770083102493073}",30,0,-38.23077057026979,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.26846358291497735}",20,4,-10.576338664429166,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.2603082049146187}",20,0,3.094553378635597,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.25251887578596477}",30,19,-4.250268334597241,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.24507401235173001}",20,13,6.255982076932792,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.23795359904818542}",25,13,16.340303451187292,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.23113905325443776}",25,11,-2.122100554895934,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.2246131039284831}",20,1,-26.465977084510705,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.2183596820683029}",20,2,-3.133415088735946,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.21236382169933532}",25,7,20.955911712312904,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.20661157024793392}",20,7,1.6819965106922286,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.2010899072975528}",25,16,16.09046731821692,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.19578667084344908}",35,20,31.35513318485335,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.19069049026525062}",20,10,21.050697031228992,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.18579072532699184}",30,7,15.13643809476572,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.18107741059302873}",20,10,18.54955095992803,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.17654120471718118}",35,13,38.005096248066536,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.17217334412286311}",20,13,15.148347049035506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.16796560064498817}",25,1,-12.078804376551702,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.1639102427510698}",20,0,-55.7319169872336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.16000000000000028}",25,9,27.11058841252596,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.15622803043322064}",20,13,2.839594770131864,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.1525878906250003}",20,0,18.859155213662046,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.14907350814686754}",30,16,12.143406537323148,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.1456791562263275}",20,15,-13.197464550778838,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.14239943040227873}",25,7,-11.493820598217958,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.13922922699933205}",30,13,30.78690689534613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.13616372326084922}",20,9,6.835537428138128,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.13319835899621754}",30,17,21.414032845832555,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.13032881961188114}",20,13,11.064190440938297,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.12755102040816366}",20,12,4.910707002214227,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.12486109203511132}",20,11,3.8526070141529707,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.12225536701061215}",30,19,-21.3064401982451,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
